Region,Area
AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),36650.95
CORDILLERA ADMINISTRATIVE REGION,19818.12
MIMAROPA REGION,29606.25
NATIONAL CAPITAL REGION,619.54
NEGROS ISLAND REGION,13425.4
REGION I - ILOCOS,12964.62
REGION II - CAGAYAN VALLEY,29836.88
REGION III - CENTRAL LUZON,21906.19
REGION IV-A – CALABARZON,16576.26
REGION IX - ZAMBOANGA PENINSULA,16904.03
REGION V - BICOL,18114.47
REGION VI - WESTERN VISAYAS,12773.46
REGION VII - CENTRAL VISAYAS,10452.01
REGION VIII - EASTERN VISAYAS,23234.78
REGION X - NORTHERN MINDANAO,20458.51
REGION XI - DAVAO ,20433.38
REGION XII - SOCCSKSARGEN,22786.08
REGION XIII – CARAGA,21120.56
