"CityProvince","Barangay","density"
"ABORLAN","San Juan",186.919552459362
"ABORLAN","Aporawan",167.700299767786
"ABORLAN","Plaridel",162.476605446485
"ABORLAN","Ramon Magsaysay",133.746286679333
"ABORLAN","Isaub",121.524813172894
"ABRA DE ILOG","Cabacao",282.375174160861
"ABRA DE ILOG","Udalo (Camurong)",194.36085286046
"ABRA DE ILOG","Lumangbayan",173.811036521005
"ABRA DE ILOG","Balao",164.940612201815
"ABRA DE ILOG","Wawa",152.571298290057
"ABUCAY","Mabatang",1297.79893263046
"ABUCAY","Capitangan",954.692897304369
"ABUCAY","Gabon",765.368601294885
"ABUCAY","Calaylayan (Pob.)",684.371221102346
"ABUCAY","Wawa (Pob.)",621.49912878506
"ABULUG","Libertad",300.058652245141
"ABULUG","Guiddam",256.916507355997
"ABULUG","Lucban",216.872541633039
"ABULUG","Calog Sur",195.727468823818
"ABULUG","Centro (Pob.)",185.503477575403
"ABUYOG","Balocawehay",652.035009584769
"ABUYOG","Santo Niño (Pob.)",526.956140751064
"ABUYOG","Victory (Pob.)",500.504416224298
"ABUYOG","Cagbolo",469.140228571133
"ABUYOG","Balinsasayao",435.508750244246
"ADAMS","Adams (Pob.)",451.295911488343
"AGDANGAN","Poblacion II",518.482576890083
"AGDANGAN","Poblacion I",406.011368064931
"AGDANGAN","Ibabang Kinagunan",362.62269052247
"AGDANGAN","Kanlurang Calutan",356.320424510716
"AGDANGAN","Binagbag",305.902296416683
"AGLIPAY","San Leonardo (Cabarroguis)",182.172934971753
"AGLIPAY","Palacian",153.979504559458
"AGLIPAY","Ligaya",142.826059561187
"AGLIPAY","San Francisco",142.20642372795
"AGLIPAY","Villa Santiago",112.463903732562
"AGNO","Bangan-Oda",949.685760168829
"AGNO","Boboy",833.839711460884
"AGNO","Aloleng",644.708444983347
"AGNO","Macaboboni",611.465665788893
"AGNO","Cayungnan",533.647341765513
"AGONCILLO","Subic Ibaba",966.42825341784
"AGONCILLO","Subic Ilaya",929.099447040527
"AGONCILLO","Coral Na Munti",921.827601642349
"AGONCILLO","Banyaga",739.54667699469
"AGONCILLO","Pook",653.738901296191
"AGOO","San Nicolas West",682.48433043159
"AGOO","San Agustin East",601.140257099707
"AGOO","San Antonio",597.362668554882
"AGOO","San Isidro",524.329290021613
"AGOO","San Marcos",521.810897658396
"AGUILAR","Ninoy",959.507490385372
"AGUILAR","Poblacion",882.696523307278
"AGUILAR","Baybay",870.104561491197
"AGUILAR","Laoag",859.527313565689
"AGUILAR","Buer",817.218321863657
"AGUINALDO","Ubao",157.131352519815
"AGUINALDO","Mongayang",123.901157122875
"AGUINALDO","Halag",105.802568558471
"AGUINALDO","Posnaan",86.5171873013182
"AGUINALDO","Chalalo",85.9237909549443
"AGUTAYA","Algeciras",225.900139328689
"AGUTAYA","Concepcion",187.905155161495
"AGUTAYA","Diit",52.4340637534304
"AGUTAYA","Villasol",42.4301963267891
"AGUTAYA","Villafria",25.4285497150095
"AJUY","Culasi",1224.9627743775
